entity,domain,secondary_domain,currently_active,twitter_account,facebook_account,instagram_account,telegram_account,vk_account,tiktok_account,youtube_account,soundcloud_account,pinterest_account,weibo_account,douyin_acocunt,daily_motion_account,flipboard_account
CGTN,cgtn.com,,TRUE,CGTNOfficial,ChinaGlobalTVNetwork,cgtn,CGTNOfficial,,,CGTN,,CGTNOfficial,,,,
CGTN America,america.cgtn.com,,TRUE,cgtnamerica,cgtnamerica,cgtnamerica,,,,cgtnamerica,cgtnamerica,,cgtnamerica,,,CGTN
CGTN Europe,cgtn.com/europe,,TRUE,CGTNEurope,cgtneuropeofficial,cgtneurope,,,cgtneurope,cgtneurope,,,,,CGTNEurope,
CGTN Russian,russian.cgtn.com,,TRUE,cgtnrussian,cgtnrussian,,,cgtnrussian,,UCA2WHG4EpVqul3TYjAF0k2A,,,cgtnrussian,,,
China Daily,chinadaily.com.cn,,TRUE,ChinaDaily,chinadaily,chinadailynews,,,,UCahujLjSL34EPNxtwKRi_vg,,,,,,
Xinhua News (English),english.news.cn,xinhuanet.com/english,TRUE,XHNews,XinhuaNewsAgency,chinaxinhuanews,,,,ChinaViewTV,,,,,,
Xinhua News (Chinese),news.cn,xinhuanet.com,TRUE,,,,,,,,,,,,,
Xinhua News North America,,,TRUE,,XHNorthAmerica,,,,,,,,,,,
Xinhua News HK,,,TRUE,,XinhuaHK,,,,,,,,,,,
Xinhua News UK,,,TRUE,,XinhuaUK,,,,,,,,,,,
CCTV,cctv.com,,TRUE,cctv,cctvcom,cctv,,,,UCT8RMFbTJV5ILaVykrluOQg,,,,,,
Caixan Media,caixanglobal.com,,TRUE,caixan,caixanmedia,caixan_global,,,,caixinchina,,,,,,
Global Times,globaltimes.cn,globaltimes.com.cn,TRUE,globaltimesnews,globaltimesnews,globaltimes,,,,UCO9SfFMUHEeMXt1EKIcN1oA,,,,,,
Peopleâ€™s Daily (English),en.people.cn,,TRUE,pdchina,PeoplesDaily,peoples_daily,,,,PeoplesDaily,,,,,,
People's Daily (Chinese),people.com.cn,people.cn,TRUE,,,,,,,,,,,,,
Guangming Daily (English),en.gmw.cn,,TRUE,guangming_daily,guangmingdailyChina,,,,,UCs4E_aYEkdtFlWYiQUn9Log,,,,,,
Guangming Daily (English),,,TRUE,,guangmingonline,,,,,,,,,,,
Guangming Daily (Chinese),gmw.cn,,TRUE,,,,,,,,,,,,,